Item_ID,matrix_verb,context,ground_truth,context_prime,sentence,sentence_type,question,idx,gender,speaker,other_person,correct,model_pred,model_name
T07C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull benim kendisinden daha iyi bir aday olduğumu düşünüyor ve seçimi kazanmayı benim hakettiğimi söylüyor. NAMENull seçimde beni destekliyor.",speaker,speaker,NAMENull seçimi kazanmamı istiyor.,nominalized,NAMENull seçimi kimin kazanmasını istiyor?,7,m,Anıl,Mert,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T08A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen arabası çok kirlenmiş ve yıkanması gerekiyor ama NAMENull çok yorgun. NAMENull bana arabamı yıkarsam çok mutlu olacağını söyledi.",speaker,speaker,NAMENull arabayı yıkayayım istiyor.,finite,NAMENull arabayı kimin yıkamasını istiyor?,8,m,Sinan,Yavuz,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T08B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull araba yıkamayı çok seviyor. NAME-gen arabası kirlenmiş. NAMENull işten çıkınca büyük bir zevkle arabayı yıkayacağını söyledi.",shifted,shifted,NAMENull arabayı yıkayayım istiyor.,finite,NAMENull arabayı kimin yıkamasını istiyor?,8,f,Hande,Nurgül,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T08D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull araba yıkamayı çok seviyor. NAME-gen arabası kirlenmiş. NAMENull işten çıkınca büyük bir zevkle arabayı yıkayacağını söyledi.",speaker,shifted,NAMENull arabayı yıkamamı istiyor.,nominalized,NAMENull arabayı kimin yıkamasını istiyor?,8,m,Salih,Alperen,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T08C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen arabası çok kirlenmiş ve yıkanması gerekiyor ama NAMENull çok yorgun. NAMENull bana arabamı yıkarsam çok mutlu olacağını söyledi.",speaker,speaker,NAMENull arabayı yıkamamı istiyor.,nominalized,NAMENull arabayı kimin yıkamasını istiyor?,8,m,Utku,Güngör,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T09A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bana yeni bir bilgisayar almamın çok faydalı olabileceğini söyledi. NAMENull bana sürekli yeni bilgisayar almamı öneriyor.",speaker,speaker,NAMENull yeni bir bilgisayar alayım istiyor.,finite,NAMENull kimin yeni bir bilgisayar almasını istiyor?,9,m,Kenan,Emre,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T09C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bana yeni bir bilgisayar almamın çok faydalı olabileceğini söyledi. NAMENull bana sürekli yeni bilgisayar almamı öneriyor.",speaker,speaker,NAMENull yeni bir bilgisayar almamı istiyor.,nominalized,NAMENull kimin yeni bir bilgisayar almasını istiyor?,9,m,Salih,Alperen,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T09D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull sürekli bilgisayarının çok eski olduğundan şikayet ediyor. NAMENull yeni bir bilgisayar alırsa kendisine çok faydası olacağını söylüyor.",speaker,shifted,NAMENull yeni bir bilgisayar almamı istiyor.,nominalized,NAMENull kimin yeni bir bilgisayar almasını istiyor?,9,m,Kenan,Emre,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T10C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni çok sever. NAMENull başarılı olmam için beni hep destekler.",speaker,speaker,NAMENull başarılı olmamı istiyor.,nominalized,NAMENull kimin başarılı olmasını istiyor?,10,f,İlayda,Ece,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T10B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencildir. NAMENull başarılı olursa insanların ona daha çok saygı duyacağını düşünüyor.",shifted,shifted,NAMENull başarılı olayım istiyor.,finite,NAMENull kimin başarılı olmasını istiyor?,10,f,Kübra,Ezgi,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T10D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencildir. NAMENull başarılı olursa insanların ona daha çok saygı duyacağını düşünüyor.",speaker,shifted,NAMENull başarılı olmamı istiyor.,nominalized,NAMENull kimin başarılı olmasını istiyor?,10,m,Serkan,Furkan,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T10A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni çok sever. NAMENull başarılı olmam için beni hep destekler.",speaker,speaker,NAMENull başarılı olayım istiyor.,finite,NAMENull kimin başarılı olmasını istiyor?,10,m,Ali,Samet,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T11C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun süredir aralıksız çalıştığımı öğrendi. NAMENull bir süre dinlenmenin bana çok iyi geleceğini söylüyor.",speaker,speaker,NAMENull tatile gitmemi istiyor.,nominalized,NAMENull kimin tatile gitmesini istiyor?,11,f,Berna,Fatma,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T11A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun süredir aralıksız çalıştığımı öğrendi. NAMENull bir süre dinlenmenin bana çok iyi geleceğini söylüyor.",speaker,speaker,NAMENull tatile gideyim istiyor.,finite,NAMENull kimin tatile gitmesini istiyor?,11,f,Selin,Simge,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T11D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun zamandır aralıksız çalışıyor. NAMENull bir süre dinlenmenin ona çok iyi geleceğini söylüyor.",speaker,shifted,NAMENull tatile gitmemi istiyor.,nominalized,NAMENull kimin tatile gitmesini istiyor?,11,m,Salih,Alperen,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T11B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun zamandır aralıksız çalışıyor. NAMENull bir süre dinlenmenin ona çok iyi geleceğini söylüyor.",shifted,shifted,NAMENull tatile gideyim istiyor.,finite,NAMENull kimin tatile gitmesini istiyor?,11,m,Tolga,Emir,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T12C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim favori müzik grubumun Ankara'ya geldiğini söyledi.",speaker,speaker,NAMENull konsere gitmemi istiyor.,nominalized,NAMENull kimin konsere gitmesini istiyor?,12,f,Sena,Elif,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T12B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen favori müzik grubu turneye çıkmış.",shifted,shifted,NAMENull konsere gideyim istiyor.,finite,NAMENull kimin konsere gitmesini istiyor?,12,m,Mustafa,Efe,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T12A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim favori müzik grubumun Ankara'ya geldiğini söyledi.",speaker,speaker,NAMENull konsere gideyim istiyor.,finite,NAMENull kimin konsere gitmesini istiyor?,12,m,Batuhan,Ömer,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T12D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen favori müzik grubu turneye çıkmış.",speaker,shifted,NAMENull konsere gitmemi istiyor.,nominalized,NAMENull kimin konsere gitmesini istiyor?,12,m,Serkan,Furkan,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T13D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull sağlıksız hissettiğini söyledi. Sağlık için sporun çok önemli olduğunu düşünüyor.",speaker,shifted,NAMENull spora gitmemi istiyor.,nominalized,NAMENull kimin spora gitmesini istiyor?,13,f,İdil,Sinem,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T13A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull iyi görünmediğimi söyledi. Sağlık için sporun çok önemli olduğunu düşünüyor.",speaker,speaker,NAMENull spora gideyim istiyor.,finite,NAMENull kimin spora gitmesini istiyor?,13,f,Özge,Nazlı,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T13B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull sağlıksız hissettiğini söyledi. Sağlık için sporun çok önemli olduğunu düşünüyor.",shifted,shifted,NAMENull spora gideyim istiyor.,finite,NAMENull kimin spora gitmesini istiyor?,13,m,Ali,Samet,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T14C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben geçen hafta bir koşu yarışına katıldık. NAME-dat yalan atarak ona yarışı benim kazandığımı söyledim.",speaker,speaker,NAMENull yarışı kazandığımı sanıyor.,nominalized,NAMENull yarışı kimin kazandığını sanıyor?,14,f,Merve,Gözde,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T14D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben geçen hafta bir koşu yarışına katıldık. NAME-dat yalan atarak ona yarışı onun kazandığını söyledim.",speaker,shifted,NAMENull yarışı kazandığımı sanıyor.,nominalized,NAMENull yarışı kimin kazandığını sanıyor?,14,m,Mustafa,Efe,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T14B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben geçen hafta bir koşu yarışına katıldık. NAME-dat yalan atarak ona yarışı onun kazandığını söyledim.",shifted,shifted,NAMENull yarışı kazandım sanıyor.,finite,NAMENull yarışı kimin kazandığını sanıyor?,14,m,Oğuzhan,Yılmaz,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T15A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için ona sınıfta kaldığımı söyledim. Bunu duyunca çok üzüldü ve beni teselli etti.",speaker,speaker,NAMENull sınıfta kaldım sanıyor.,finite,NAMENull kimin sınıfta kaldığını sanıyor?,15,m,Batuhan,Ömer,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T15D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için onun sınıfta kaldığını söyledim. Bunu duyunca çok üzüldü ve ağlamaya başladı.",speaker,shifted,NAMENull sınıfta kaldığımı sanıyor.,nominalized,NAMENull kimin sınıfta kaldığını sanıyor?,15,f,Hilal,Ayşe,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T15B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için onun sınıfta kaldığını söyledim. Bunu duyunca çok üzüldü ve ağlamaya başladı.",shifted,shifted,NAMENull sınıfta kaldım sanıyor.,finite,NAMENull kimin sınıfta kaldığını sanıyor?,15,f,Ebrar,Tuğçe,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T15C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için ona sınıfta kaldığımı söyledim. Bunu duyunca çok üzüldü ve beni teselli etti.",speaker,speaker,NAMENull sınıfta kaldığımı sanıyor.,nominalized,NAMENull kimin sınıfta kaldığını sanıyor?,15,f,Sena,Elif,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T16C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni aradı ama ben onunla konuşmak istemiyordum. Ona araba sürdüğüm için konuşamayacağımı söyledim.",speaker,speaker,NAMENull araba sürdüğümü sanıyor.,nominalized,NAMENull kimin araba sürdüğünü sanıyor?,16,m,Batuhan,Ömer,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T16D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim arabamı sürmek istedi. Arabamı otomatik sürüş moduna alıp ona verdim. Arabam kendini sürerken NAMENull şoför koltuğunda oturuyor.",speaker,shifted,NAMENull araba sürdüğümü sanıyor.,nominalized,NAMENull kimin araba sürdüğünü sanıyor?,16,f,Zeynep,Duygu,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T16B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim arabamı sürmek istedi. Arabamı otomatik sürüş moduna alıp ona verdim. Arabam kendini sürerken NAMENull şoför koltuğunda oturuyor.",shifted,shifted,NAMENull araba sürüyorum sanıyor.,finite,NAMENull kimin araba sürdüğünü sanıyor?,16,f,Sena,Elif,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T16A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni aradı ama ben onunla konuşmak istemiyordum. Ona araba sürdüğüm için konuşamayacağımı söyledim.",speaker,speaker,NAMENull araba sürüyorum sanıyor.,finite,NAMENull kimin araba sürdüğünü sanıyor?,16,f,İdil,Sinem,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T17C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hep bilgisayarla ilgilendiğimi, hiç çalışmadığımı söylüyor. Ben bilgisayardan çalışıyorum.",speaker,speaker,NAMENull oyun oynadığımı sanıyor.,nominalized,NAMENull kimin oyun oynadığını sanıyor?,17,f,Merve,Gözde,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T17B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull İngilizce'sini geliştirsin diye bir uygulama önerdim. NAMENull uygulamayı sürekli oynadığını söyledi.",shifted,shifted,NAMENull oyun oynuyorum sanıyor.,finite,NAMENull kimin oyun oynadığını sanıyor?,17,m,Batuhan,Ömer,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
