,Item_ID,matrix_verb,context,ground_truth,context_prime,sentence,sentence_type,question
6,T06B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden hiç suşi yememiş. NAMENull suşinin tadını çok merak ediyor.",shifted,shifted,NAMENull suşi deneyeyim istiyor.,finite,NAMENull kimin suşi denemesini istiyor?
6,T06C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden suşi yemiş ve çok beğenmiş. NAMENull bana da kesinlikle suşinin tadına bakmam gerektiğini söylüyor.",speaker,speaker,NAMENull suşi denememi istiyor.,nominalized,NAMENull kimin suşi denemesini istiyor?
6,T06D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden hiç suşi yememiş. NAMENull suşinin tadını çok merak ediyor.",speaker,shifted,NAMENull suşi denememi istiyor.,nominalized,NAMENull kimin suşi denemesini istiyor?
7,T07A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull benim kendisinden daha iyi bir aday olduğumu düşünüyor ve seçimi kazanmayı benim hakettiğimi söylüyor. NAMENull seçimde beni destekliyor.",speaker,speaker,NAMENull seçimi kazanayım istiyor.,finite,NAMENull seçimi kimin kazanmasını istiyor?
7,T07B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull seçimi kazanmayı hak ettiğini düşünüyor ve insanlara sürekli beni kötülüyor.",shifted,shifted,NAMENull seçimi kazanayım istiyor.,finite,NAMENull seçimi kimin kazanmasını istiyor?
7,T07C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull benim kendisinden daha iyi bir aday olduğumu düşünüyor ve seçimi kazanmayı benim hakettiğimi söylüyor. NAMENull seçimde beni destekliyor.",speaker,speaker,NAMENull seçimi kazanmamı istiyor.,nominalized,NAMENull seçimi kimin kazanmasını istiyor?
7,T07D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull seçimi kazanmayı hak ettiğini düşünüyor ve insanlara sürekli beni kötülüyor.",speaker,shifted,NAMENull seçimi kazanmamı istiyor.,nominalized,NAMENull seçimi kimin kazanmasını istiyor?
8,T08A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen arabası çok kirlenmiş ve yıkanması gerekiyor ama NAMENull çok yorgun. NAMENull bana arabamı yıkarsam çok mutlu olacağını söyledi.",speaker,speaker,NAMENull arabayı yıkayayım istiyor.,finite,NAMENull arabayı kimin yıkamasını istiyor?
8,T08B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull araba yıkamayı çok seviyor. NAME-gen arabası kirlenmiş. NAMENull işten çıkınca büyük bir zevkle arabayı yıkayacağını söyledi.",shifted,shifted,NAMENull arabayı yıkayayım istiyor.,finite,NAMENull arabayı kimin yıkamasını istiyor?
8,T08C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen arabası çok kirlenmiş ve yıkanması gerekiyor ama NAMENull çok yorgun. NAMENull bana arabamı yıkarsam çok mutlu olacağını söyledi.",speaker,speaker,NAMENull arabayı yıkamamı istiyor.,nominalized,NAMENull arabayı kimin yıkamasını istiyor?
8,T08D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull araba yıkamayı çok seviyor. NAME-gen arabası kirlenmiş. NAMENull işten çıkınca büyük bir zevkle arabayı yıkayacağını söyledi.",speaker,shifted,NAMENull arabayı yıkamamı istiyor.,nominalized,NAMENull arabayı kimin yıkamasını istiyor?
9,T09A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bana yeni bir bilgisayar almamın çok faydalı olabileceğini söyledi. NAMENull bana sürekli yeni bilgisayar almamı öneriyor.",speaker,speaker,NAMENull yeni bir bilgisayar alayım istiyor.,finite,NAMENull kimin yeni bir bilgisayar almasını istiyor?
9,T09B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull sürekli bilgisayarının çok eski olduğundan şikayet ediyor. NAMENull yeni bir bilgisayar alırsa kendisine çok faydası olacağını söylüyor.",shifted,shifted,NAMENull yeni bir bilgisayar alayım istiyor.,finite,NAMENull kimin yeni bir bilgisayar almasını istiyor?
9,T09C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bana yeni bir bilgisayar almamın çok faydalı olabileceğini söyledi. NAMENull bana sürekli yeni bilgisayar almamı öneriyor.",speaker,speaker,NAMENull yeni bir bilgisayar almamı istiyor.,nominalized,NAMENull kimin yeni bir bilgisayar almasını istiyor?
9,T09D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull sürekli bilgisayarının çok eski olduğundan şikayet ediyor. NAMENull yeni bir bilgisayar alırsa kendisine çok faydası olacağını söylüyor.",speaker,shifted,NAMENull yeni bir bilgisayar almamı istiyor.,nominalized,NAMENull kimin yeni bir bilgisayar almasını istiyor?
10,T10A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni çok sever. NAMENull başarılı olmam için beni hep destekler.",speaker,speaker,NAMENull başarılı olayım istiyor.,finite,NAMENull kimin başarılı olmasını istiyor?
10,T10B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencildir. NAMENull başarılı olursa insanların ona daha çok saygı duyacağını düşünüyor.",shifted,shifted,NAMENull başarılı olayım istiyor.,finite,NAMENull kimin başarılı olmasını istiyor?
10,T10C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni çok sever. NAMENull başarılı olmam için beni hep destekler.",speaker,speaker,NAMENull başarılı olmamı istiyor.,nominalized,NAMENull kimin başarılı olmasını istiyor?
10,T10D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencildir. NAMENull başarılı olursa insanların ona daha çok saygı duyacağını düşünüyor.",speaker,shifted,NAMENull başarılı olmamı istiyor.,nominalized,NAMENull kimin başarılı olmasını istiyor?
11,T11A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun süredir aralıksız çalıştığımı öğrendi. NAMENull bir süre dinlenmenin bana çok iyi geleceğini söylüyor.",speaker,speaker,NAMENull tatile gideyim istiyor.,finite,NAMENull kimin tatile gitmesini istiyor?
11,T11B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun zamandır aralıksız çalışıyor. NAMENull bir süre dinlenmenin ona çok iyi geleceğini söylüyor.",shifted,shifted,NAMENull tatile gideyim istiyor.,finite,NAMENull kimin tatile gitmesini istiyor?
11,T11C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun süredir aralıksız çalıştığımı öğrendi. NAMENull bir süre dinlenmenin bana çok iyi geleceğini söylüyor.",speaker,speaker,NAMENull tatile gitmemi istiyor.,nominalized,NAMENull kimin tatile gitmesini istiyor?
11,T11D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull uzun zamandır aralıksız çalışıyor. NAMENull bir süre dinlenmenin ona çok iyi geleceğini söylüyor.",speaker,shifted,NAMENull tatile gitmemi istiyor.,nominalized,NAMENull kimin tatile gitmesini istiyor?
12,T12A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim favori müzik grubumun Ankara'ya geldiğini söyledi.",speaker,speaker,NAMENull konsere gideyim istiyor.,finite,NAMENull kimin konsere gitmesini istiyor?
12,T12B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen favori müzik grubu turneye çıkmış.",shifted,shifted,NAMENull konsere gideyim istiyor.,finite,NAMENull kimin konsere gitmesini istiyor?
12,T12C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim favori müzik grubumun Ankara'ya geldiğini söyledi.",speaker,speaker,NAMENull konsere gitmemi istiyor.,nominalized,NAMENull kimin konsere gitmesini istiyor?
12,T12D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-gen favori müzik grubu turneye çıkmış.",speaker,shifted,NAMENull konsere gitmemi istiyor.,nominalized,NAMENull kimin konsere gitmesini istiyor?
13,T13A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull iyi görünmediğimi söyledi. Sağlık için sporun çok önemli olduğunu düşünüyor.",speaker,speaker,NAMENull spora gideyim istiyor.,finite,NAMENull kimin spora gitmesini istiyor?
13,T13B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull sağlıksız hissettiğini söyledi. Sağlık için sporun çok önemli olduğunu düşünüyor.",shifted,shifted,NAMENull spora gideyim istiyor.,finite,NAMENull kimin spora gitmesini istiyor?
13,T13C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull iyi görünmediğimi söyledi. Sağlık için sporun çok önemli olduğunu düşünüyor.",speaker,speaker,NAMENull spora gitmemi istiyor.,nominalized,NAMENull kimin spora gitmesini istiyor?
13,T13D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull sağlıksız hissettiğini söyledi. Sağlık için sporun çok önemli olduğunu düşünüyor.",speaker,shifted,NAMENull spora gitmemi istiyor.,nominalized,NAMENull kimin spora gitmesini istiyor?
14,T14A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben geçen hafta bir koşu yarışına katıldık. NAME-dat yalan atarak ona yarışı benim kazandığımı söyledim.",speaker,speaker,NAMENull yarışı kazandım sanıyor.,finite,NAMENull yarışı kimin kazandığını sanıyor?
14,T14B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben geçen hafta bir koşu yarışına katıldık. NAME-dat yalan atarak ona yarışı onun kazandığını söyledim.",shifted,shifted,NAMENull yarışı kazandım sanıyor.,finite,NAMENull yarışı kimin kazandığını sanıyor?
14,T14C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben geçen hafta bir koşu yarışına katıldık. NAME-dat yalan atarak ona yarışı benim kazandığımı söyledim.",speaker,speaker,NAMENull yarışı kazandığımı sanıyor.,nominalized,NAMENull yarışı kimin kazandığını sanıyor?
14,T14D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben geçen hafta bir koşu yarışına katıldık. NAME-dat yalan atarak ona yarışı onun kazandığını söyledim.",speaker,shifted,NAMENull yarışı kazandığımı sanıyor.,nominalized,NAMENull yarışı kimin kazandığını sanıyor?
15,T15A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için ona sınıfta kaldığımı söyledim. Bunu duyunca çok üzüldü ve beni teselli etti.",speaker,speaker,NAMENull sınıfta kaldım sanıyor.,finite,NAMENull kimin sınıfta kaldığını sanıyor?
15,T15B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için onun sınıfta kaldığını söyledim. Bunu duyunca çok üzüldü ve ağlamaya başladı.",shifted,shifted,NAMENull sınıfta kaldım sanıyor.,finite,NAMENull kimin sınıfta kaldığını sanıyor?
15,T15C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için ona sınıfta kaldığımı söyledim. Bunu duyunca çok üzüldü ve beni teselli etti.",speaker,speaker,NAMENull sınıfta kaldığımı sanıyor.,nominalized,NAMENull kimin sınıfta kaldığını sanıyor?
15,T15D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat şaka yapmak için onun sınıfta kaldığını söyledim. Bunu duyunca çok üzüldü ve ağlamaya başladı.",speaker,shifted,NAMENull sınıfta kaldığımı sanıyor.,nominalized,NAMENull kimin sınıfta kaldığını sanıyor?
16,T16A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni aradı ama ben onunla konuşmak istemiyordum. Ona araba sürdüğüm için konuşamayacağımı söyledim.",speaker,speaker,NAMENull araba sürüyorum sanıyor.,finite,NAMENull kimin araba sürdüğünü sanıyor?
16,T16B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim arabamı sürmek istedi. Arabamı otomatik sürüş moduna alıp ona verdim. Arabam kendini sürerken NAMENull şoför koltuğunda oturuyor.",shifted,shifted,NAMENull araba sürüyorum sanıyor.,finite,NAMENull kimin araba sürdüğünü sanıyor?
16,T16C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni aradı ama ben onunla konuşmak istemiyordum. Ona araba sürdüğüm için konuşamayacağımı söyledim.",speaker,speaker,NAMENull araba sürdüğümü sanıyor.,nominalized,NAMENull kimin araba sürdüğünü sanıyor?
16,T16D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim arabamı sürmek istedi. Arabamı otomatik sürüş moduna alıp ona verdim. Arabam kendini sürerken NAMENull şoför koltuğunda oturuyor.",speaker,shifted,NAMENull araba sürdüğümü sanıyor.,nominalized,NAMENull kimin araba sürdüğünü sanıyor?
17,T17A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hep bilgisayarla ilgilendiğimi, hiç çalışmadığımı söylüyor. Ben bilgisayardan çalışıyorum.",speaker,speaker,NAMENull oyun oynuyorum sanıyor.,finite,NAMENull kimin oyun oynadığını sanıyor?
17,T17B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull İngilizce'sini geliştirsin diye bir uygulama önerdim. NAMENull uygulamayı sürekli oynadığını söyledi.",shifted,shifted,NAMENull oyun oynuyorum sanıyor.,finite,NAMENull kimin oyun oynadığını sanıyor?
17,T17C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hep bilgisayarla ilgilendiğimi, hiç çalışmadığımı söylüyor. Ben bilgisayardan çalışıyorum.",speaker,speaker,NAMENull oyun oynadığımı sanıyor.,nominalized,NAMENull kimin oyun oynadığını sanıyor?
17,T17D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull İngilizce'sini geliştirsin diye bir uygulama önerdim. NAMENull uygulamayı sürekli oynadığını söyledi.",speaker,shifted,NAMENull oyun oynadığımı sanıyor.,nominalized,NAMENull kimin oyun oynadığını sanıyor?
18,T18A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Bu akşama yetiştirmemiz gereken iki ödevimiz var. NAMENull ödevi benden almak istiyor ama ben ödevleri yapmadım.",speaker,speaker,NAMENull ödevleri bitirdim sanıyor.,finite,NAMENull kimin ödevleri bitirdiğini sanıyor?
18,T18B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Öğretmenimiz bize iki ödev verdi. NAMENull sadece bir ödevden haberdar. Onu bitirmiş.",shifted,shifted,NAMENull ödevleri bitirdim sanıyor.,finite,NAMENull kimin ödevleri bitirdiğini sanıyor?
18,T18C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Bu akşama yetiştirmemiz gereken iki ödevimiz var. NAMENull ödevi benden almak istiyor ama ben ödevleri yapmadım.",speaker,speaker,NAMENull ödevleri bitirdiğimi sanıyor.,nominalized,NAMENull kimin ödevleri bitirdiğini sanıyor?
18,T18D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Öğretmenimiz bize iki ödev verdi. NAMENull sadece bir ödevden haberdar. Onu bitirmiş.",speaker,shifted,NAMENull ödevleri bitirdiğimi sanıyor.,nominalized,NAMENull kimin ödevleri bitirdiğini sanıyor?
19,T19A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile bir kafede buluşacağız. NAMENull 5 dakika geç kaldığı için özür diliyor. Benim daha yolda olduğumu bilmiyor.",speaker,speaker,NAMENull buluşmaya geldim sanıyor.,finite,NAMENull kimin buluşmaya geldiğini sanıyor?
19,T19B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile buluşmak için anlaştığımız kafeye geldim. NAMENull yanlış kafeye gitmiş.",shifted,shifted,NAMENull buluşmaya geldim sanıyor.,finite,NAMENull kimin buluşmaya geldiğini sanıyor?
19,T19C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile bir kafede buluşacağız. NAMENull 5 dakika geç kaldığı için özür diliyor. Benim daha yolda olduğumu bilmiyor.",speaker,speaker,NAMENull buluşmaya geldiğimi sanıyor.,nominalized,NAMENull kimin buluşmaya geldiğini sanıyor?
19,T19D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile buluşmak için anlaştığımız kafeye geldim. NAMENull yanlış kafeye gitmiş.",speaker,shifted,NAMENull buluşmaya geldiğimi sanıyor.,nominalized,NAMENull kimin buluşmaya geldiğini sanıyor?
20,T20A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bana sürpriz yapmak için evime balkon kapısından girmeyi planlıyormuş. Halbuki yakın zamanda mahallemde hırsızlık olduğunu duyduktan sonra balkon kapısını kilitledim.",speaker,speaker,NAMENull kapıyı açık bıraktım sanıyor.,finite,NAMENull kimin kapıyı açık bıraktığını sanıyor?
